OBJECTID *,Shape *,RevDate,SourceAgency,DataSource,HztlAccuracy,GNIS_Name,GlobalID *,Shape_Length,Shape_Area,Lat,Long
4746,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{5BF43DE9-F99B-4053-AC69-9EF97AD26075},11194.63667,4355063.46,913013.1326,1450761.331
4747,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{5985A04D-F52A-4318-AF64-262385C5226D},191.560815,514.939215,915367.4559,1475399.634
4748,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{2ED3EE87-7603-4251-8818-53790AFBCEC6},31.525117,29.079699,916051.8944,1475159.44
4749,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{C5934155-F706-4F0A-86D1-3E610711F657},4989.674604,888086.9062,915888.7336,1449470.572
4750,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{4111B617-3719-47DA-8BC1-C20E2BE2F2D8},268.31941,1047.631991,916876.7341,1476984.298
4751,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{439A2DB9-2604-44BF-93B6-5797294BFE7B},12562.82206,1185208.02,916538.1947,1475225.364
4752,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{74855423-6D63-43AF-8310-9D54EB88C52B},2275.767126,185161.3871,917442.3028,1478302.526
4753,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{303CABB2-D036-430D-8E3F-4B1E2BF5E183},5996.578053,572557.4344,918838.3269,1477781.613
4754,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{1B4ABD80-CB78-4833-A5AC-7C9CA05D0417},2937.086328,544553.9195,919501.742,1450238.987
4755,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{A0B21AE5-657B-45C6-A8A3-3964E0E3F634},2691.389109,372621.343,919787.8908,1449380.373
4756,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{49349EA5-10E0-4CB8-9409-64E9F74419C3},1396.743743,106566.4443,920185.9956,1452645.563
4757,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{DC0CBDBB-05E3-422E-A48C-42FA4B9ADD18},1762.924233,215339.1839,920172.582,1456568.178
